ID,TM,YW,PT,RL,AX,AY,AZ,QW,QX,QY,QZ,MX,MY,MZ
3914009288,1492553604772,131.04,0.49,-179.75,1.95,-1.53,-985.23,,,,,,,
3914009287,1492553604716,131.2,0.49,-179.72,1.77,-0.55,-989.99,,,,,,,
3914009286,1492553604659,131.28,0.5,-179.71,-2.32,-0.55,-989.93,,,,,,,
3914009285,1492553604602,131.27,0.5,-179.71,0.12,1.16,-988.46,,,,,,,
3914009284,1492553604546,131.17,0.5,-179.71,-1.65,0.67,-992.86,,,,,,,
3914009283,1492553604489,130.97,0.5,-179.73,0.12,0.79,-987.79,,,,,,,
3914009282,1492553604432,130.68,0.5,-179.76,2.01,0.06,-986.02,,,,,,,
3914009281,1492553604376,130.34,0.5,-179.79,-1.16,0.61,-989.93,,,,,,,
3914009280,1492553604319,129.94,0.49,-179.83,-0.12,0.12,-988.04,,,,,,,
3914009279,1492553604264,129.49,0.49,-179.89,1.16,1.28,-990.72,,,,,,,
3914009278,1492553604206,129,0.49,-179.94,2.2,0.06,-988.89,,,,,,,
3914009277,1492553604149,128.53,0.48,-179.99,-0.79,2.32,-992.8,,,,,,,
3914009276,1492553604092,128.07,0.47,179.95,-1.16,-0.12,-991.09,,,,,,,
3914009275,1492553604036,127.63,0.46,179.9,0.43,2.93,-989.32,,,,,,,
3914009274,1492553603979,127.24,0.45,179.85,0.49,1.34,-987,,,,,,,
3914009273,1492553603922,126.91,0.44,179.8,0.85,0.67,-989.44,,,,,,,
3914009272,1492553603864,126.66,0.44,179.76,1.28,1.4,-986.94,,,,,,,
3914009271,1492553603807,126.5,0.43,179.74,1.83,-0.18,-989.56,,,,,,,
3914009270,1492553603750,126.41,0.43,179.72,-1.16,-1.34,-990.6,,,,,,,
3914009269,1492553603694,126.42,0.42,179.72,1.89,-0.85,-988.16,,,,,,,
3914009268,1492553603637,126.53,0.43,179.72,0.43,-1.1,-990.36,,,,,,,
3914009267,1492553603580,126.74,0.43,179.73,-0.12,-0.24,-986.57,,,,,,,
3914009266,1492553603520,127.01,0.44,179.76,-1.34,1.77,-987.06,,,,,,,
3914009265,1492553603465,127.36,0.44,179.8,-0.73,2.81,-990.78,,,,,,,
3914009264,1492553603408,127.77,0.45,179.84,-0.37,2.5,-985.9,,,,,,,
3914009263,1492553603350,128.21,0.46,179.89,-0.18,2.01,-989.99,,,,,,,
3914009262,1492553603295,128.7,0.47,179.94,-0.24,0.43,-987.55,,,,,,,
3914009261,1492553603238,129.19,0.48,180,-1.89,4.15,-987.73,,,,,,,
3914009260,1492553603180,129.65,0.49,-179.95,-0.31,1.71,-986.02,,,,,,,
3914009259,1492553603125,130.08,0.5,-179.89,0.55,2.75,-988.1,,,,,,,
3914009258,1492553603068,130.47,0.51,-179.84,1.22,1.22,-990.66,,,,,,,
3914009257,1492553603010,130.79,0.51,-179.79,1.1,0.43,-990.54,,,,,,,
3914009256,1492553602953,131.04,0.52,-179.76,-0.24,-0.18,-986.15,,,,,,,
3914009255,1492553602898,131.23,0.52,-179.73,-0.37,-0.18,-991.7,,,,,,,
3914009254,1492553602840,131.32,0.52,-179.72,-0.49,0.12,-988.4,,,,,,,
3914009253,1492553602785,131.31,0.53,-179.71,0.73,-0.49,-987.61,,,,,,,
3914009252,1492553602728,131.19,0.53,-179.72,-0.43,0.67,-989.69,,,,,,,
3914009251,1492553602670,131.01,0.53,-179.73,-0.24,1.1,-987.55,,,,,,,
3914009250,1492553602613,130.73,0.53,-179.76,0,1.71,-989.32,,,,,,,
3914009249,1492553602558,130.37,0.52,-179.79,1.1,0.92,-989.56,,,,,,,
3914009248,1492553602500,129.98,0.52,-179.83,-0.55,0.37,-988.53,,,,,,,
3914009247,1492553602443,129.53,0.51,-179.88,-1.53,1.59,-988.89,,,,,,,
3914009246,1492553602386,129.06,0.5,-179.93,1.53,1.59,-990.42,,,,,,,
3914009245,1492553602330,128.57,0.5,-179.99,0.43,3.42,-988.89,,,,,,,
3914009244,1492553602273,128.11,0.49,179.95,0.67,2.56,-989.2,,,,,,,
3914009243,1492553602216,127.65,0.49,179.9,1.46,2.38,-985.84,,,,,,,
3914009242,1492553602158,127.26,0.48,179.85,1.89,2.14,-986.33,,,,,,,
3914009241,1492553602103,126.94,0.47,179.8,-0.55,0.98,-986.39,,,,,,,
3914009240,1492553602046,126.68,0.46,179.77,0,0.37,-989.26,,,,,,,
3914009239,1492553601988,126.51,0.45,179.74,0.61,-1.46,-989.01,,,,,,,
3914009238,1492553601933,126.43,0.44,179.72,0.37,-0.67,-989.75,,,,,,,
3914009237,1492553601876,126.44,0.44,179.71,1.04,-1.83,-988.4,,,,,,,
3914009236,1492553601818,126.55,0.44,179.71,0.85,0.67,-989.38,,,,,,,
3914009235,1492553601761,126.75,0.44,179.73,0.24,0.49,-986.45,,,,,,,
3914009234,1492553601704,127.03,0.45,179.75,-0.49,-1.34,-986.82,,,,,,,
3914009233,1492553601646,127.4,0.45,179.79,0.92,2.38,-990.48,,,,,,,
3914009232,1492553601591,127.8,0.46,179.83,0.31,2.69,-987.79,,,,,,,
3914009231,1492553601534,128.26,0.46,179.88,1.53,2.2,-986.63,,,,,,,
3914009230,1492553601476,128.74,0.47,179.94,-0.37,3.36,-989.14,,,,,,,
3914009229,1492553601419,129.23,0.48,179.99,1.4,1.65,-988.04,,,,,,,
3914009228,1492553601362,129.71,0.49,-179.95,-0.24,1.95,-985.47,,,,,,,
3914009227,1492553601304,130.15,0.5,-179.89,1.89,3.78,-990.72,,,,,,,
3914009226,1492553601249,130.54,0.5,-179.84,2.81,0.79,-990.97,,,,,,,
3914009225,1492553601192,130.86,0.51,-179.8,-0.12,0.98,-989.99,,,,,,,
3914009224,1492553601136,131.1,0.52,-179.76,-0.61,-0.06,-989.87,,,,,,,
3914009223,1492553601079,131.27,0.52,-179.73,-0.24,-2.01,-986.39,,,,,,,
3914009222,1492553601022,131.34,0.53,-179.72,0.37,1.46,-985.96,,,,,,,
3914009221,1492553600966,131.35,0.52,-179.71,0.79,0.98,-988.28,,,,,,,
3914009220,1492553600909,131.24,0.52,-179.72,1.65,0.18,-987.24,,,,,,,
3914009219,1492553600852,131.04,0.52,-179.74,0.37,0.55,-987.55,,,,,,,
3914009218,1492553600796,130.76,0.52,-179.76,0.43,0.98,-988.16,,,,,,,
3914009217,1492553600739,130.4,0.52,-179.8,0.85,0.73,-987.61,,,,,,,
3914009216,1492553600682,130,0.52,-179.84,-1.83,2.62,-988.34,,,,,,,
3914009215,1492553600626,129.56,0.51,-179.9,0.55,3.72,-986.57,,,,,,,
3914009214,1492553600569,129.07,0.5,-179.95,-0.79,2.14,-987.92,,,,,,,
3914009213,1492553600512,128.58,0.49,179.99,1.65,3.17,-989.2,,,,,,,
3914009212,1492553600454,128.11,0.48,179.94,-0.12,3.11,-988.4,,,,,,,
3914009211,1492553600397,127.67,0.48,179.88,-1.28,0.92,-991.33,,,,,,,
3914009210,1492553600342,127.29,0.47,179.83,0.06,2.08,-989.56,,,,,,,
3914009209,1492553600284,126.97,0.46,179.79,-1.16,0.24,-990.05,,,,,,,
3914009208,1492553600227,126.71,0.45,179.75,-1.04,-0.67,-986.76,,,,,,,
